signal_id,timestamp,symbol,direction,entry_price,entry_atr,entry_atr_percent,entry_rsi,entry_adx,entry_volume_ratio,entry_hurst,entry_sma_distance_percent,entry_regime,entry_hour,entry_day_of_week,entry_rsi_slope,entry_macd_hist,entry_price_momentum,entry_atr_expansion,entry_bb_position,entry_volume_trend,entry_candle_strength,is_london_session,is_nyc_session,is_asia_session,stop_loss,tp1,tp2,tp3,exit_price,exit_reason,tp1_hit,tp2_hit,tp3_hit,sl_hit,realized_r,duration_minutes,max_drawdown_r,max_profit_r,outcome,source,sample_weight
LINKUSDT_406,2025-10-17 02:45:00,LINKUSDT,LONG,17.48,0.11714285714285667,0.6701536449820176,54.68749999999987,32.47529743758685,1.1020605307332196,0.5086202007797392,0.12171547218442577,VOLATILE,2,4,-1.6339285714285565,0.014165035532349785,-0.11428571428571122,0.9247251198195631,0.6314510249680475,20.88659097981409,0.0714285714285823,0,0,1,17.245714285714286,17.83142857142857,18.065714285714282,18.417142857142853,17.245714285714286,STOP_LOSS,False,False,False,True,-1.0,210,1.5792682926829373,0.2987804878048805,0,backtest,0.3
LINKUSDT_454,2025-10-17 14:45:00,LINKUSDT,LONG,16.32,0.20500000000000007,1.2561274509803926,39.79591836734697,40.58080039790958,1.0999069333124025,0.6155152239228417,-0.8520526723470284,TRENDING,14,4,-5.960816326530602,0.012261531112603079,-0.5484460694698323,0.9605087014725558,0.4503295164130838,-9.370072044447475,0.08695652173912842,1,1,0,15.91,16.935000000000002,17.345,17.96,16.79,TIMEOUT,True,False,False,False,1.3231707317073154,1500,0.1707317073170738,1.6585365853658525,1,backtest,0.3
LINKUSDT_751,2025-10-20 17:00:00,LINKUSDT,SHORT,18.67,0.16571428571428523,0.8875966026474837,32.631578947368425,43.486340167121504,1.2237851351282092,0.613138001725225,-1.0231670465991696,TRENDING,17,0,0.9707602339181193,-0.06451503771338196,-0.47974413646055813,1.111643507426923,0.1660913254863543,26.30826024449462,0.3333333333333531,0,1,0,19.001428571428573,18.172857142857147,17.841428571428576,17.34428571428572,18.15,TIMEOUT,True,True,False,False,1.8137931034482786,1500,0.875,3.0172413793103536,1,backtest,0.3
LINKUSDT_860,2025-10-21 20:15:00,LINKUSDT,SHORT,18.0,0.15928571428571406,0.8849206349206336,30.33707865168533,52.49922108303239,1.144371791525708,0.549607209581438,-1.5047879616962987,VOLATILE,20,1,1.2886546683901685,-0.048776293371117205,-1.5317286652078876,0.6902956198730832,0.16329934786328645,305.75449046172724,-0.368421052631578,0,1,0,18.318571428571428,17.522142857142857,17.20357142857143,16.725714285714286,16.91,TIMEOUT,True,True,False,False,2.1843049327354267,1500,0.2197309417040371,3.986547085201798,1,backtest,0.3
LINKUSDT_1059,2025-10-23 22:00:00,LINKUSDT,SHORT,17.32,0.09285714285714189,0.5361266908610963,33.33333333333316,43.651524328522406,1.1644380119947952,0.5241128173988934,-0.42686519970679543,VOLATILE,22,3,-0.21505376344088062,-0.020753808811458024,0.40579710144927894,0.7765830346475455,0.2715242239479574,-38.025165038176404,0.22222222222221782,0,1,0,17.505714285714284,17.041428571428575,16.855714285714292,16.577142857142864,17.505714285714284,STOP_LOSS,False,False,False,True,-1.0,375,1.0769230769230844,0.16153846153846935,0,backtest,0.3
LINKUSDT_2639,2025-11-09 09:00:00,LINKUSDT,LONG,15.33,0.0921428571428572,0.6010623427453178,58.73015873015864,30.881832910341785,0.7665052512748332,0.4772043729722826,0.2993277393395159,VOLATILE,9,6,-1.2974465148378258,0.013991208129806153,-0.2602472348731233,0.9735849056603776,0.7172417133157861,-29.010586370393753,0.2857142857142857,1,0,1,15.145714285714286,15.606428571428571,15.790714285714285,16.06714285714286,15.145714285714286,STOP_LOSS,False,False,False,True,-1.0,60,1.3023255813953492,0.43410852713178305,0,backtest,0.3
LINKUSDT_3092,2025-11-14 02:15:00,LINKUSDT,LONG,14.56,0.13000000000000028,0.8928571428571447,52.94117647058828,25.98113893376648,1.252594389868457,0.6799946917239467,0.406868491828157,TRENDING,2,4,-1.452581032412955,0.024850773329194817,0.8310249307479367,0.9398399173767114,0.6883292603224973,64.30111075234267,0.6250000000000083,0,0,1,14.3,14.950000000000001,15.210000000000003,15.600000000000003,14.3,STOP_LOSS,False,False,False,True,-1.0,135,2.5384615384615334,0.15384615384615025,0,backtest,0.3
LINKUSDT_3709,2025-11-20 12:30:00,LINKUSDT,SHORT,13.69,0.10071428571428546,0.7356777627047879,35.89743589743584,39.21457386544726,1.4433828053951585,0.6482867663789373,-0.47436433361807817,TRENDING,12,3,2.403367776502088,-0.022122822402890638,0.735835172921262,1.2202509736045002,0.27127809591163426,-13.184639504039374,-0.09090909090908944,1,0,0,13.89142857142857,13.387857142857143,13.186428571428571,12.884285714285715,13.89142857142857,STOP_LOSS,False,False,False,True,-1.0,60,1.1418439716312105,0.3475177304964562,0,backtest,0.3
LINKUSDT_4147,2025-11-25 02:00:00,LINKUSDT,SHORT,12.92,0.07142857142857194,0.5528527200353865,35.897435897436,36.7517858533398,3.120456092558311,0.47830525008659114,-0.6153846153846159,VOLATILE,2,1,-0.43956043956044655,-0.02009873742782338,-0.46224961479198745,0.9813542688910754,0.11795673908532313,356.5948609691719,0.22222222222221344,0,0,1,13.062857142857144,12.705714285714285,12.56285714285714,12.348571428571425,13.062857142857144,STOP_LOSS,True,True,False,True,1.3,960,1.399999999999985,2.589999999999976,1,backtest,0.3
LINKUSDT_5752,2025-12-11 19:15:00,LINKUSDT,LONG,13.79,0.11571428571428566,0.8391173728374595,68.49315068493138,35.168745621206845,1.397331860873043,0.46473734167213615,1.4922077683122177,VOLATILE,19,3,3.428359866715988,0.027928542109977545,1.1738811445340946,1.0169491525423724,1.0,307.4430146512526,0.666666666666647,0,1,0,13.558571428571428,14.137142857142855,14.368571428571428,14.715714285714284,13.558571428571428,STOP_LOSS,True,False,False,True,0.25,1230,1.3827160493827102,2.4197530864197563,1,backtest,0.3
